campaignId,aliasQuery,clusterName,status,durationInMs,createdAt
ra3.4xlarge_x2nodes_run_3,Q6_7,ra3.4xlarge_x2nodes,FAILED,0,2024-12-24T13:19:47.438Z
ra3.4xlarge_x2nodes_run_3,Q1_6,ra3.4xlarge_x2nodes,FINISHED,3341,2024-12-24T15:09:56.849Z
ra3.4xlarge_x2nodes_run_3,Q2_2,ra3.4xlarge_x2nodes,FINISHED,927,2024-12-24T15:10:40.557Z
ra3.4xlarge_x2nodes_run_3,Q9_2,ra3.4xlarge_x2nodes,FAILED,0,2024-12-24T13:31:41.511Z
ra3.4xlarge_x2nodes_run_3,Q5_8,ra3.4xlarge_x2nodes,FINISHED,32523,2024-12-24T13:18:35.999Z
ra3.4xlarge_x2nodes_run_3,Q1_9,ra3.4xlarge_x2nodes,FINISHED,4890,2024-12-24T13:11:46.435Z
ra3.4xlarge_x2nodes_run_3,Q4_7,ra3.4xlarge_x2nodes,FAILED,0,2024-12-24T13:13:42.518Z
ra3.4xlarge_x2nodes_run_3,Q4_5,ra3.4xlarge_x2nodes,FINISHED,2599,2024-12-24T15:12:48.788Z
ra3.4xlarge_x2nodes_run_3,Q9_10,ra3.4xlarge_x2nodes,FINISHED,29691,2024-12-24T15:39:52.701Z
ra3.4xlarge_x2nodes_run_3,Q5_6,ra3.4xlarge_x2nodes,FINISHED,33541,2024-12-24T13:17:25.153Z
ra3.4xlarge_x2nodes_run_3,Q6_3,ra3.4xlarge_x2nodes,FINISHED,23953,2024-12-24T15:19:47.762Z
ra3.4xlarge_x2nodes_run_3,Q7_5,ra3.4xlarge_x2nodes,FINISHED,33385,2024-12-24T13:23:15.435Z
ra3.4xlarge_x2nodes_run_3,Q8_5,ra3.4xlarge_x2nodes,FINISHED,29452,2024-12-24T13:28:59.345Z
ra3.4xlarge_x2nodes_run_3,Q7_10,ra3.4xlarge_x2nodes,FINISHED,29982,2024-12-24T15:28:53.203Z
ra3.4xlarge_x2nodes_run_3,Q7_6,ra3.4xlarge_x2nodes,FINISHED,33432,2024-12-24T13:23:50.998Z
ra3.4xlarge_x2nodes_run_3,Q10_9,ra3.4xlarge_x2nodes,FINISHED,1079,2024-12-24T15:43:47.538Z
ra3.4xlarge_x2nodes_run_3,Q3_10,ra3.4xlarge_x2nodes,FINISHED,3390,2024-12-24T15:12:19.297Z
ra3.4xlarge_x2nodes_run_3,Q6_2,ra3.4xlarge_x2nodes,FAILED,0,2024-12-24T13:19:24.991Z
ra3.4xlarge_x2nodes_run_3,Q8_10,ra3.4xlarge_x2nodes,FINISHED,20660,2024-12-24T15:34:07.266Z
ra3.4xlarge_x2nodes_run_3,Q2_8,ra3.4xlarge_x2nodes,FAILED,0,2024-12-24T13:12:03.667Z
ra3.4xlarge_x2nodes_run_3,Q5_2,ra3.4xlarge_x2nodes,FINISHED,33611,2024-12-24T13:15:07.058Z
ra3.4xlarge_x2nodes_run_3,Q5_4,ra3.4xlarge_x2nodes,FINISHED,31080,2024-12-24T15:15:29.818Z
ra3.4xlarge_x2nodes_run_3,Q5_7,ra3.4xlarge_x2nodes,FINISHED,32925,2024-12-24T15:17:16.602Z
ra3.4xlarge_x2nodes_run_3,Q9_10,ra3.4xlarge_x2nodes,FAILED,0,2024-12-24T13:32:18.058Z
ra3.4xlarge_x2nodes_run_3,Q9_1,ra3.4xlarge_x2nodes,FINISHED,31370,2024-12-24T15:34:42.216Z
ra3.4xlarge_x2nodes_run_3,Q2_10,ra3.4xlarge_x2nodes,FAILED,0,2024-12-24T13:12:05.709Z
ra3.4xlarge_x2nodes_run_3,Q9_3,ra3.4xlarge_x2nodes,FAILED,0,2024-12-24T13:31:45.950Z
ra3.4xlarge_x2nodes_run_3,Q6_4,ra3.4xlarge_x2nodes,FINISHED,22084,2024-12-24T15:20:12.682Z
ra3.4xlarge_x2nodes_run_3,Q2_6,ra3.4xlarge_x2nodes,FINISHED,1026,2024-12-24T15:10:58.515Z
ra3.4xlarge_x2nodes_run_3,Q1_3,ra3.4xlarge_x2nodes,FINISHED,4628,2024-12-24T15:09:37.888Z
ra3.4xlarge_x2nodes_run_3,Q4_6,ra3.4xlarge_x2nodes,FINISHED,2446,2024-12-24T15:12:53.261Z
ra3.4xlarge_x2nodes_run_3,Q3_8,ra3.4xlarge_x2nodes,FINISHED,2724,2024-12-24T15:12:08.622Z
ra3.4xlarge_x2nodes_run_3,Q4_9,ra3.4xlarge_x2nodes,FAILED,0,2024-12-24T13:13:51.638Z
ra3.4xlarge_x2nodes_run_3,Q9_1,ra3.4xlarge_x2nodes,FAILED,0,2024-12-24T13:31:37.065Z
ra3.4xlarge_x2nodes_run_3,Q6_10,ra3.4xlarge_x2nodes,FINISHED,22603,2024-12-24T15:22:46.168Z
ra3.4xlarge_x2nodes_run_3,Q10_7,ra3.4xlarge_x2nodes,FINISHED,25554,2024-12-24T15:43:14.666Z
ra3.4xlarge_x2nodes_run_3,Q9_5,ra3.4xlarge_x2nodes,FINISHED,32017,2024-12-24T15:37:02.564Z
ra3.4xlarge_x2nodes_run_3,Q2_5,ra3.4xlarge_x2nodes,FAILED,0,2024-12-24T13:12:00.516Z
ra3.4xlarge_x2nodes_run_3,Q2_4,ra3.4xlarge_x2nodes,FAILED,0,2024-12-24T13:11:59.508Z
ra3.4xlarge_x2nodes_run_3,Q5_6,ra3.4xlarge_x2nodes,FINISHED,33749,2024-12-24T15:16:41.071Z
ra3.4xlarge_x2nodes_run_3,Q8_9,ra3.4xlarge_x2nodes,FINISHED,29288,2024-12-24T15:33:41.954Z
ra3.4xlarge_x2nodes_run_3,Q9_6,ra3.4xlarge_x2nodes,FINISHED,30529,2024-12-24T15:37:34.603Z
ra3.4xlarge_x2nodes_run_3,Q9_4,ra3.4xlarge_x2nodes,FINISHED,31783,2024-12-24T15:36:27.459Z
ra3.4xlarge_x2nodes_run_3,Q5_3,ra3.4xlarge_x2nodes,FINISHED,30596,2024-12-24T13:15:39.221Z
ra3.4xlarge_x2nodes_run_3,Q3_2,ra3.4xlarge_x2nodes,FINISHED,6795,2024-12-24T15:11:33.555Z
ra3.4xlarge_x2nodes_run_3,Q3_9,ra3.4xlarge_x2nodes,FINISHED,3150,2024-12-24T13:13:02.418Z
ra3.4xlarge_x2nodes_run_3,Q7_4,ra3.4xlarge_x2nodes,FINISHED,32908,2024-12-24T13:22:40.017Z
ra3.4xlarge_x2nodes_run_3,Q1_9,ra3.4xlarge_x2nodes,FINISHED,4705,2024-12-24T15:10:22.709Z
ra3.4xlarge_x2nodes_run_3,Q1_5,ra3.4xlarge_x2nodes,FINISHED,3552,2024-12-24T13:11:15.360Z
ra3.4xlarge_x2nodes_run_3,Q10_8,ra3.4xlarge_x2nodes,FAILED,0,2024-12-24T13:32:53.803Z
ra3.4xlarge_x2nodes_run_3,Q2_1,ra3.4xlarge_x2nodes,FAILED,0,2024-12-24T13:50:51.127Z
ra3.4xlarge_x2nodes_run_3,Q8_1,ra3.4xlarge_x2nodes,FINISHED,29124,2024-12-24T15:29:25.496Z
ra3.4xlarge_x2nodes_run_3,Q6_10,ra3.4xlarge_x2nodes,FAILED,0,2024-12-24T13:20:00.797Z
ra3.4xlarge_x2nodes_run_3,Q2_1,ra3.4xlarge_x2nodes,FINISHED,851,2024-12-24T15:10:36.070Z
ra3.4xlarge_x2nodes_run_3,Q4_2,ra3.4xlarge_x2nodes,FAILED,0,2024-12-24T13:13:20.088Z
ra3.4xlarge_x2nodes_run_3,Q1_8,ra3.4xlarge_x2nodes,FINISHED,4170,2024-12-24T15:10:14.135Z
ra3.4xlarge_x2nodes_run_3,Q5_9,ra3.4xlarge_x2nodes,FINISHED,2505,2024-12-24T13:18:40.894Z
ra3.4xlarge_x2nodes_run_3,Q3_5,ra3.4xlarge_x2nodes,FINISHED,2801,2024-12-24T13:12:38.463Z
ra3.4xlarge_x2nodes_run_3,Q9_5,ra3.4xlarge_x2nodes,FAILED,0,2024-12-24T13:31:55.204Z
ra3.4xlarge_x2nodes_run_3,Q7_8,ra3.4xlarge_x2nodes,FINISHED,33405,2024-12-24T13:25:01.587Z
ra3.4xlarge_x2nodes_run_3,Q7_6,ra3.4xlarge_x2nodes,FINISHED,33697,2024-12-24T15:26:26.611Z
ra3.4xlarge_x2nodes_run_3,Q9_7,ra3.4xlarge_x2nodes,FAILED,0,2024-12-24T13:32:04.350Z
ra3.4xlarge_x2nodes_run_3,Q2_2,ra3.4xlarge_x2nodes,FAILED,0,2024-12-24T13:11:57.449Z
ra3.4xlarge_x2nodes_run_3,Q2_7,ra3.4xlarge_x2nodes,FAILED,0,2024-12-24T13:12:02.645Z
ra3.4xlarge_x2nodes_run_3,Q8_10,ra3.4xlarge_x2nodes,FINISHED,20682,2024-12-24T13:31:32.585Z
ra3.4xlarge_x2nodes_run_3,Q5_1,ra3.4xlarge_x2nodes,FINISHED,33823,2024-12-24T15:13:46.373Z
ra3.4xlarge_x2nodes_run_3,Q6_2,ra3.4xlarge_x2nodes,FINISHED,23160,2024-12-24T15:19:22.749Z
ra3.4xlarge_x2nodes_run_3,Q3_5,ra3.4xlarge_x2nodes,FINISHED,2873,2024-12-24T15:11:49.405Z
ra3.4xlarge_x2nodes_run_3,Q4_5,ra3.4xlarge_x2nodes,FAILED,0,2024-12-24T13:13:33.408Z
ra3.4xlarge_x2nodes_run_3,Q6_3,ra3.4xlarge_x2nodes,FAILED,0,2024-12-24T13:19:29.391Z
ra3.4xlarge_x2nodes_run_3,Q1_10,ra3.4xlarge_x2nodes,FINISHED,4341,2024-12-24T15:10:31.377Z
ra3.4xlarge_x2nodes_run_3,Q2_3,ra3.4xlarge_x2nodes,FINISHED,1044,2024-12-24T15:10:45.059Z
