campaignId,aliasQuery,clusterName,status,durationInMs,createdAt
campaign-2024-12-30T09:35:22.782Z,Q1_5,dc2.large_x5nodes,FINISHED,5259,2024-12-30T09:36:10.203Z
campaign-2024-12-30T09:35:22.782Z,Q7_9,dc2.large_x5nodes,FINISHED,78544,2024-12-30T10:17:44.336Z
campaign-2024-12-30T09:35:22.782Z,Q1_8,dc2.large_x5nodes,FINISHED,5170,2024-12-30T09:36:36.722Z
campaign-2024-12-30T09:35:22.782Z,Q5_7,dc2.large_x5nodes,FINISHED,41065,2024-12-30T09:48:19.610Z
campaign-2024-12-30T09:35:22.782Z,Q9_7,dc2.large_x5nodes,FINISHED,76655,2024-12-30T10:35:01.562Z
campaign-2024-12-30T09:35:22.782Z,Q9_4,dc2.large_x5nodes,FINISHED,74497,2024-12-30T10:31:07.917Z
campaign-2024-12-30T09:35:22.782Z,Q7_1,dc2.large_x5nodes,FINISHED,78489,2024-12-30T10:07:52.905Z
campaign-2024-12-30T09:35:22.782Z,Q2_5,dc2.large_x5nodes,FINISHED,544,2024-12-30T09:37:17.224Z
campaign-2024-12-30T09:35:22.782Z,Q1_9,dc2.large_x5nodes,FINISHED,5486,2024-12-30T09:36:45.557Z
campaign-2024-12-30T09:35:22.782Z,Q1_4,dc2.large_x5nodes,FINISHED,5233,2024-12-30T09:36:01.339Z
campaign-2024-12-30T09:35:22.782Z,Q3_1,dc2.large_x5nodes,FINISHED,2907,2024-12-30T09:37:45.356Z
campaign-2024-12-30T09:35:22.782Z,Q2_7,dc2.large_x5nodes,FINISHED,626,2024-12-30T09:37:26.469Z
campaign-2024-12-30T09:35:22.782Z,Q4_3,dc2.large_x5nodes,FINISHED,2592,2024-12-30T09:38:51.573Z
campaign-2024-12-30T09:35:22.782Z,Q3_6,dc2.large_x5nodes,FINISHED,2460,2024-12-30T09:38:12.228Z
campaign-2024-12-30T09:35:22.782Z,Q2_6,dc2.large_x5nodes,FINISHED,821,2024-12-30T09:37:21.856Z
campaign-2024-12-30T09:35:22.782Z,Q8_10,dc2.large_x5nodes,FINISHED,31788,2024-12-30T10:26:59.496Z
campaign-2024-12-30T09:35:22.782Z,Q4_10,dc2.large_x5nodes,FINISHED,2566,2024-12-30T09:39:23.786Z
campaign-2024-12-30T09:35:22.782Z,Q5_6,dc2.large_x5nodes,FINISHED,77189,2024-12-30T09:47:36.584Z
campaign-2024-12-30T09:35:22.782Z,Q10_8,dc2.large_x5nodes,FINISHED,39989,2024-12-30T10:44:06.233Z
campaign-2024-12-30T09:35:22.782Z,Q3_10,dc2.large_x5nodes,FINISHED,2191,2024-12-30T09:38:34.132Z
campaign-2024-12-30T09:35:22.782Z,Q1_6,dc2.large_x5nodes,FINISHED,5015,2024-12-30T09:36:19.040Z
campaign-2024-12-30T09:35:22.782Z,Q7_2,dc2.large_x5nodes,FINISHED,50629,2024-12-30T10:08:46.617Z
campaign-2024-12-30T09:35:22.782Z,Q10_3,dc2.large_x5nodes,FINISHED,42518,2024-12-30T10:40:27.618Z
campaign-2024-12-30T09:35:22.782Z,Q6_4,dc2.large_x5nodes,FINISHED,62116,2024-12-30T09:58:50.230Z
campaign-2024-12-30T09:35:22.782Z,Q5_1,dc2.large_x5nodes,FINISHED,79450,2024-12-30T09:40:47.596Z
campaign-2024-12-30T09:35:22.782Z,Q4_1,dc2.large_x5nodes,FINISHED,4591,2024-12-30T09:38:42.318Z
campaign-2024-12-30T09:35:22.782Z,Q4_4,dc2.large_x5nodes,FINISHED,2696,2024-12-30T09:38:56.266Z
campaign-2024-12-30T09:35:22.782Z,Q4_5,dc2.large_x5nodes,FINISHED,2604,2024-12-30T09:39:00.939Z
campaign-2024-12-30T09:35:22.782Z,Q4_9,dc2.large_x5nodes,FINISHED,2554,2024-12-30T09:39:19.242Z
campaign-2024-12-30T09:35:22.782Z,Q8_2,dc2.large_x5nodes,FINISHED,45260,2024-12-30T10:20:43.947Z
campaign-2024-12-30T09:35:22.782Z,Q5_3,dc2.large_x5nodes,FINISHED,77624,2024-12-30T09:43:35.567Z
campaign-2024-12-30T09:35:22.782Z,Q6_1,dc2.large_x5nodes,FINISHED,191441,2024-12-30T09:53:54.544Z
campaign-2024-12-30T09:35:22.782Z,Q9_10,dc2.large_x5nodes,FINISHED,74828,2024-12-30T10:38:17.128Z
campaign-2024-12-30T09:35:22.782Z,Q6_8,dc2.large_x5nodes,FINISHED,65122,2024-12-30T10:02:17.114Z
campaign-2024-12-30T09:35:22.782Z,Q1_3,dc2.large_x5nodes,FINISHED,5185,2024-12-30T09:35:52.576Z
campaign-2024-12-30T09:35:22.782Z,Q6_10,dc2.large_x5nodes,FINISHED,61887,2024-12-30T10:06:32.602Z
campaign-2024-12-30T09:35:22.782Z,Q8_9,dc2.large_x5nodes,FINISHED,49860,2024-12-30T10:26:23.682Z
campaign-2024-12-30T09:35:22.782Z,Q1_1,dc2.large_x5nodes,FINISHED,4934,2024-12-30T09:35:34.821Z
campaign-2024-12-30T09:35:22.782Z,Q2_3,dc2.large_x5nodes,FINISHED,631,2024-12-30T09:37:08.177Z
campaign-2024-12-30T09:35:22.782Z,Q5_10,dc2.large_x5nodes,FINISHED,76219,2024-12-30T09:50:41.714Z
campaign-2024-12-30T09:35:22.782Z,Q4_2,dc2.large_x5nodes,FINISHED,2705,2024-12-30T09:38:46.964Z
campaign-2024-12-30T09:35:22.782Z,Q10_4,dc2.large_x5nodes,FINISHED,42946,2024-12-30T10:41:13.497Z
campaign-2024-12-30T09:35:22.782Z,Q8_7,dc2.large_x5nodes,FINISHED,43884,2024-12-30T10:24:40.189Z
campaign-2024-12-30T09:35:22.782Z,Q2_9,dc2.large_x5nodes,FINISHED,579,2024-12-30T09:37:35.665Z
campaign-2024-12-30T09:35:22.782Z,Q6_3,dc2.large_x5nodes,FINISHED,199962,2024-12-30T09:57:46.778Z
campaign-2024-12-30T09:35:22.782Z,Q7_3,dc2.large_x5nodes,FINISHED,78651,2024-12-30T10:10:10.208Z
campaign-2024-12-30T09:35:22.782Z,Q6_5,dc2.large_x5nodes,FINISHED,63027,2024-12-30T09:59:56.751Z
campaign-2024-12-30T09:35:22.782Z,Q7_4,dc2.large_x5nodes,FINISHED,49045,2024-12-30T10:11:02.791Z
campaign-2024-12-30T09:35:22.782Z,Q2_2,dc2.large_x5nodes,FINISHED,504,2024-12-30T09:37:03.690Z
campaign-2024-12-30T09:35:22.782Z,Q3_5,dc2.large_x5nodes,FINISHED,2302,2024-12-30T09:38:06.822Z
campaign-2024-12-30T09:35:22.782Z,Q9_9,dc2.large_x5nodes,FINISHED,73845,2024-12-30T10:37:00.625Z
campaign-2024-12-30T09:35:22.782Z,Q1_7,dc2.large_x5nodes,FINISHED,5530,2024-12-30T09:36:27.955Z
campaign-2024-12-30T09:35:22.782Z,Q9_3,dc2.large_x5nodes,FINISHED,49843,2024-12-30T10:29:51.288Z
campaign-2024-12-30T09:35:22.782Z,Q10_1,dc2.large_x5nodes,FINISHED,39859,2024-12-30T10:38:59.371Z
campaign-2024-12-30T09:35:22.782Z,Q10_7,dc2.large_x5nodes,FINISHED,39984,2024-12-30T10:43:24.023Z
campaign-2024-12-30T09:35:22.782Z,Q2_8,dc2.large_x5nodes,FINISHED,541,2024-12-30T09:37:31.103Z
campaign-2024-12-30T09:35:22.782Z,Q3_9,dc2.large_x5nodes,FINISHED,2139,2024-12-30T09:38:28.640Z
campaign-2024-12-30T09:35:22.782Z,Q4_6,dc2.large_x5nodes,FINISHED,2617,2024-12-30T09:39:05.529Z
campaign-2024-12-30T09:35:22.782Z,Q7_8,dc2.large_x5nodes,FINISHED,77130,2024-12-30T10:16:23.590Z
campaign-2024-12-30T09:35:22.782Z,Q9_2,dc2.large_x5nodes,FINISHED,75672,2024-12-30T10:28:58.448Z
campaign-2024-12-30T09:35:22.782Z,Q9_1,dc2.large_x5nodes,FINISHED,41287,2024-12-30T10:27:41.907Z
campaign-2024-12-30T09:35:22.782Z,Q5_8,dc2.large_x5nodes,FINISHED,54574,2024-12-30T09:49:16.559Z
campaign-2024-12-30T09:35:22.782Z,Q8_6,dc2.large_x5nodes,FINISHED,43716,2024-12-30T10:23:54.213Z
campaign-2024-12-30T09:35:22.782Z,Q3_4,dc2.large_x5nodes,FINISHED,2424,2024-12-30T09:38:01.551Z
campaign-2024-12-30T09:35:22.782Z,Q7_6,dc2.large_x5nodes,FINISHED,76687,2024-12-30T10:13:43.637Z
campaign-2024-12-30T09:35:22.782Z,Q2_1,dc2.large_x5nodes,FINISHED,518,2024-12-30T09:36:59.142Z
campaign-2024-12-30T09:35:22.782Z,Q8_4,dc2.large_x5nodes,FINISHED,45603,2024-12-30T10:22:22.581Z
campaign-2024-12-30T09:35:22.782Z,Q4_8,dc2.large_x5nodes,FINISHED,2616,2024-12-30T09:39:14.723Z
campaign-2024-12-30T09:35:22.782Z,Q6_6,dc2.large_x5nodes,FINISHED,31734,2024-12-30T10:00:32.256Z
campaign-2024-12-30T09:35:22.782Z,Q7_5,dc2.large_x5nodes,FINISHED,77142,2024-12-30T10:12:22.924Z
campaign-2024-12-30T09:35:22.782Z,Q3_7,dc2.large_x5nodes,FINISHED,2229,2024-12-30T09:38:17.687Z
campaign-2024-12-30T09:35:22.782Z,Q6_9,dc2.large_x5nodes,FINISHED,188621,2024-12-30T10:05:29.635Z
campaign-2024-12-30T09:35:22.782Z,Q9_5,dc2.large_x5nodes,FINISHED,74760,2024-12-30T10:32:24.644Z
campaign-2024-12-30T09:35:22.782Z,Q3_2,dc2.large_x5nodes,FINISHED,2835,2024-12-30T09:37:50.850Z
campaign-2024-12-30T09:35:22.782Z,Q4_7,dc2.large_x5nodes,FINISHED,2694,2024-12-30T09:39:10.077Z
campaign-2024-12-30T09:35:22.782Z,Q5_4,dc2.large_x5nodes,FINISHED,76273,2024-12-30T09:44:55.784Z
campaign-2024-12-30T09:35:22.782Z,Q8_8,dc2.large_x5nodes,FINISHED,48195,2024-12-30T10:25:29.886Z
campaign-2024-12-30T09:35:22.782Z,Q8_3,dc2.large_x5nodes,FINISHED,45420,2024-12-30T10:21:33.224Z
campaign-2024-12-30T09:35:22.782Z,Q9_8,dc2.large_x5nodes,FINISHED,40499,2024-12-30T10:35:43.794Z
campaign-2024-12-30T09:35:22.782Z,Q8_5,dc2.large_x5nodes,FINISHED,44289,2024-12-30T10:23:08.484Z
campaign-2024-12-30T09:35:22.782Z,Q2_4,dc2.large_x5nodes,FINISHED,484,2024-12-30T09:37:12.715Z
campaign-2024-12-30T09:35:22.782Z,Q9_6,dc2.large_x5nodes,FINISHED,73254,2024-12-30T10:33:41.669Z
campaign-2024-12-30T09:35:22.782Z,Q1_10,dc2.large_x5nodes,FINISHED,5132,2024-12-30T09:36:54.391Z
campaign-2024-12-30T09:35:22.782Z,Q5_9,dc2.large_x5nodes,FINISHED,2937,2024-12-30T09:49:21.570Z
campaign-2024-12-30T09:35:22.782Z,Q7_10,dc2.large_x5nodes,FINISHED,76879,2024-12-30T10:19:05.321Z
campaign-2024-12-30T09:35:22.782Z,Q10_5,dc2.large_x5nodes,FINISHED,43003,2024-12-30T10:41:59.224Z
campaign-2024-12-30T09:35:22.782Z,Q5_5,dc2.large_x5nodes,FINISHED,77955,2024-12-30T09:46:16.108Z
campaign-2024-12-30T09:35:22.782Z,Q2_10,dc2.large_x5nodes,FINISHED,569,2024-12-30T09:37:40.245Z
