campaignId,aliasQuery,clusterName,status,durationInMs,createdAt
campaign-2025-01-01T11:31:50.802Z,Q5_9,dc2.large_x5nodes,FINISHED,2736,2025-01-01T11:47:14.025Z
campaign-2025-01-01T11:31:50.802Z,Q5_2,dc2.large_x5nodes,FINISHED,81631,2025-01-01T11:39:26.481Z
campaign-2025-01-01T11:31:50.802Z,Q6_1,dc2.large_x5nodes,FINISHED,187275,2025-01-01T11:51:51.012Z
campaign-2025-01-01T11:31:50.802Z,Q2_9,dc2.large_x5nodes,FINISHED,1077,2025-01-01T11:34:36.053Z
campaign-2025-01-01T11:31:50.802Z,Q10_8,dc2.large_x5nodes,FINISHED,43434,2025-01-01T12:45:17.062Z
campaign-2025-01-01T11:31:50.802Z,Q2_6,dc2.large_x5nodes,FINISHED,1360,2025-01-01T11:34:22.219Z
campaign-2025-01-01T11:31:50.802Z,Q6_9,dc2.large_x5nodes,FINISHED,194320,2025-01-01T12:03:24.747Z
campaign-2025-01-01T11:31:50.802Z,Q8_1,dc2.large_x5nodes,FINISHED,51261,2025-01-01T12:18:51.320Z
campaign-2025-01-01T11:31:50.802Z,Q10_9,dc2.large_x5nodes,FINISHED,1314,2025-01-01T12:45:21.779Z
campaign-2025-01-01T11:31:50.802Z,Q4_9,dc2.large_x5nodes,FINISHED,3654,2025-01-01T11:36:32.355Z
campaign-2025-01-01T11:31:50.802Z,Q9_7,dc2.large_x5nodes,FINISHED,78721,2025-01-01T12:35:18.261Z
campaign-2025-01-01T11:31:50.802Z,Q10_7,dc2.large_x5nodes,FINISHED,43286,2025-01-01T12:44:29.495Z
campaign-2025-01-01T11:31:50.802Z,Q8_10,dc2.large_x5nodes,FINISHED,32490,2025-01-01T12:26:42.367Z
campaign-2025-01-01T11:31:50.802Z,Q5_3,dc2.large_x5nodes,FINISHED,83898,2025-01-01T11:40:53.800Z
campaign-2025-01-01T11:31:50.802Z,Q2_7,dc2.large_x5nodes,FINISHED,1025,2025-01-01T11:34:26.843Z
