campaignId,aliasQuery,clusterName,status,durationInMs,createdAt
ra3.large_x3nodes_run_2,Q2_4,ra3.large_x3nodes,FINISHED,652,2024-12-24T17:47:24.707Z
ra3.large_x3nodes_run_2,Q1_8,ra3.large_x3nodes,FINISHED,6790,2024-12-24T17:46:49.727Z
ra3.large_x3nodes_run_2,Q2_3,ra3.large_x3nodes,FINISHED,834,2024-12-24T17:47:20.262Z
ra3.large_x3nodes_run_2,Q8_1,ra3.large_x3nodes,FINISHED,62298,2024-12-24T18:19:59.304Z
ra3.large_x3nodes_run_2,Q2_1,ra3.large_x3nodes,FINISHED,765,2024-12-24T17:47:11.362Z
ra3.large_x3nodes_run_2,Q8_2,ra3.large_x3nodes,FINISHED,61510,2024-12-24T18:21:05.292Z
ra3.large_x3nodes_run_2,Q2_2,ra3.large_x3nodes,FINISHED,755,2024-12-24T17:47:15.805Z
ra3.large_x3nodes_run_2,Q2_6,ra3.large_x3nodes,FINISHED,1043,2024-12-24T17:47:33.536Z
ra3.large_x3nodes_run_2,Q10_3,ra3.large_x3nodes,FINISHED,52210,2024-12-24T18:42:44.118Z
ra3.large_x3nodes_run_2,Q2_9,ra3.large_x3nodes,FINISHED,582,2024-12-24T17:47:46.903Z
ra3.large_x3nodes_run_2,Q6_8,ra3.large_x3nodes,FINISHED,43370,2024-12-24T18:06:35.525Z
ra3.large_x3nodes_run_2,Q9_9,ra3.large_x3nodes,FINISHED,60494,2024-12-24T18:38:52.480Z
ra3.large_x3nodes_run_2,Q8_7,ra3.large_x3nodes,FINISHED,63690,2024-12-24T18:26:35.034Z
ra3.large_x3nodes_run_2,Q6_7,ra3.large_x3nodes,FINISHED,42911,2024-12-24T18:05:50.589Z
ra3.large_x3nodes_run_2,Q5_5,ra3.large_x3nodes,FINISHED,66934,2024-12-24T17:56:12.763Z
ra3.large_x3nodes_run_2,Q7_2,ra3.large_x3nodes,FINISHED,65044,2024-12-24T18:10:14.278Z
ra3.large_x3nodes_run_2,Q1_7,ra3.large_x3nodes,FINISHED,6784,2024-12-24T17:46:41.305Z
ra3.large_x3nodes_run_2,Q9_8,ra3.large_x3nodes,FINISHED,58773,2024-12-24T18:37:50.194Z
ra3.large_x3nodes_run_2,Q3_10,ra3.large_x3nodes,FINISHED,6499,2024-12-24T17:49:20.121Z
ra3.large_x3nodes_run_2,Q7_9,ra3.large_x3nodes,FINISHED,57054,2024-12-24T18:17:48.650Z
ra3.large_x3nodes_run_2,Q8_10,ra3.large_x3nodes,FINISHED,45808,2024-12-24T18:29:29.838Z
ra3.large_x3nodes_run_2,Q8_4,ra3.large_x3nodes,FINISHED,61856,2024-12-24T18:23:17.675Z
ra3.large_x3nodes_run_2,Q7_4,ra3.large_x3nodes,FINISHED,58776,2024-12-24T18:12:29.414Z
ra3.large_x3nodes_run_2,Q5_4,ra3.large_x3nodes,FINISHED,58811,2024-12-24T17:55:03.282Z
ra3.large_x3nodes_run_2,Q1_5,ra3.large_x3nodes,FINISHED,6707,2024-12-24T17:46:24.245Z
ra3.large_x3nodes_run_2,Q1_3,ra3.large_x3nodes,FINISHED,6844,2024-12-24T17:46:07.320Z
ra3.large_x3nodes_run_2,Q6_1,ra3.large_x3nodes,FINISHED,44858,2024-12-24T18:01:20.278Z
ra3.large_x3nodes_run_2,Q3_8,ra3.large_x3nodes,FINISHED,5943,2024-12-24T17:49:02.905Z
ra3.large_x3nodes_run_2,Q4_4,ra3.large_x3nodes,FINISHED,3798,2024-12-24T17:49:55.175Z
ra3.large_x3nodes_run_2,Q10_4,ra3.large_x3nodes,FINISHED,51300,2024-12-24T18:43:39.278Z
ra3.large_x3nodes_run_2,Q1_1,ra3.large_x3nodes,FINISHED,7085,2024-12-24T17:45:50.253Z
ra3.large_x3nodes_run_2,Q4_5,ra3.large_x3nodes,FINISHED,3888,2024-12-24T17:50:03.016Z
ra3.large_x3nodes_run_2,Q8_5,ra3.large_x3nodes,FINISHED,61899,2024-12-24T18:24:23.378Z
ra3.large_x3nodes_run_2,Q9_6,ra3.large_x3nodes,FINISHED,58026,2024-12-24T18:35:45.850Z
ra3.large_x3nodes_run_2,Q4_7,ra3.large_x3nodes,FINISHED,3818,2024-12-24T17:50:18.985Z
ra3.large_x3nodes_run_2,Q2_7,ra3.large_x3nodes,FINISHED,596,2024-12-24T17:47:37.959Z
ra3.large_x3nodes_run_2,Q6_3,ra3.large_x3nodes,FINISHED,42474,2024-12-24T18:02:50.627Z
ra3.large_x3nodes_run_2,Q5_8,ra3.large_x3nodes,FINISHED,59606,2024-12-24T17:59:20.979Z
ra3.large_x3nodes_run_2,Q1_6,ra3.large_x3nodes,FINISHED,6553,2024-12-24T17:46:32.705Z
ra3.large_x3nodes_run_2,Q7_6,ra3.large_x3nodes,FINISHED,61555,2024-12-24T18:14:41.200Z
ra3.large_x3nodes_run_2,Q10_1,ra3.large_x3nodes,FINISHED,54747,2024-12-24T18:40:53.523Z
ra3.large_x3nodes_run_2,Q9_5,ra3.large_x3nodes,FINISHED,58844,2024-12-24T18:34:43.759Z
ra3.large_x3nodes_run_2,Q10_10,ra3.large_x3nodes,FINISHED,1126,2024-12-24T18:47:36.474Z
ra3.large_x3nodes_run_2,Q2_5,ra3.large_x3nodes,FINISHED,665,2024-12-24T17:47:29.149Z
ra3.large_x3nodes_run_2,Q10_6,ra3.large_x3nodes,FINISHED,54596,2024-12-24T18:45:33.132Z
ra3.large_x3nodes_run_2,Q6_10,ra3.large_x3nodes,FINISHED,42436,2024-12-24T18:08:05.709Z
ra3.large_x3nodes_run_2,Q8_3,ra3.large_x3nodes,FINISHED,62440,2024-12-24T18:22:11.372Z
ra3.large_x3nodes_run_2,Q5_10,ra3.large_x3nodes,FINISHED,59745,2024-12-24T18:00:31.528Z
ra3.large_x3nodes_run_2,Q10_9,ra3.large_x3nodes,FINISHED,1167,2024-12-24T18:47:31.970Z
ra3.large_x3nodes_run_2,Q9_3,ra3.large_x3nodes,FINISHED,60119,2024-12-24T18:32:35.606Z
ra3.large_x3nodes_run_2,Q9_7,ra3.large_x3nodes,FINISHED,59448,2024-12-24T18:36:47.906Z
ra3.large_x3nodes_run_2,Q6_4,ra3.large_x3nodes,FINISHED,42082,2024-12-24T18:03:35.599Z
ra3.large_x3nodes_run_2,Q6_5,ra3.large_x3nodes,FINISHED,43193,2024-12-24T18:04:20.641Z
ra3.large_x3nodes_run_2,Q7_8,ra3.large_x3nodes,FINISHED,62427,2024-12-24T18:16:49.604Z
ra3.large_x3nodes_run_2,Q5_3,ra3.large_x3nodes,FINISHED,61388,2024-12-24T17:54:01.016Z
ra3.large_x3nodes_run_2,Q5_7,ra3.large_x3nodes,FINISHED,58619,2024-12-24T17:58:17.701Z
ra3.large_x3nodes_run_2,Q4_10,ra3.large_x3nodes,FINISHED,3958,2024-12-24T17:50:42.750Z
ra3.large_x3nodes_run_2,Q7_5,ra3.large_x3nodes,FINISHED,62206,2024-12-24T18:13:35.027Z
