campaignId,aliasQuery,clusterName,status,durationInMs,createdAt
ra3.4xlarge_x2nodes_run_2,Q1_1,ra3.4xlarge_x2nodes,FINISHED,3583,2024-12-24T14:34:43.475Z
ra3.4xlarge_x2nodes_run_2,Q1_2,ra3.4xlarge_x2nodes,FINISHED,3808,2024-12-24T14:34:52.324Z
ra3.4xlarge_x2nodes_run_2,Q1_3,ra3.4xlarge_x2nodes,FINISHED,4569,2024-12-24T14:35:01.084Z
ra3.4xlarge_x2nodes_run_2,Q1_4,ra3.4xlarge_x2nodes,FINISHED,5036,2024-12-24T14:35:09.826Z
ra3.4xlarge_x2nodes_run_2,Q1_5,ra3.4xlarge_x2nodes,FINISHED,3347,2024-12-24T14:35:14.993Z
ra3.4xlarge_x2nodes_run_2,Q1_6,ra3.4xlarge_x2nodes,FINISHED,3289,2024-12-24T14:35:20.279Z
ra3.4xlarge_x2nodes_run_2,Q1_7,ra3.4xlarge_x2nodes,FINISHED,4721,2024-12-24T14:35:28.987Z
ra3.4xlarge_x2nodes_run_2,Q1_8,ra3.4xlarge_x2nodes,FINISHED,4184,2024-12-24T14:35:37.558Z
ra3.4xlarge_x2nodes_run_2,Q1_9,ra3.4xlarge_x2nodes,FINISHED,4616,2024-12-24T14:35:46.163Z
ra3.4xlarge_x2nodes_run_2,Q1_10,ra3.4xlarge_x2nodes,FINISHED,4359,2024-12-24T14:35:54.754Z
ra3.4xlarge_x2nodes_run_2,Q2_1,ra3.4xlarge_x2nodes,FINISHED,877,2024-12-24T14:35:59.490Z
ra3.4xlarge_x2nodes_run_2,Q2_2,ra3.4xlarge_x2nodes,FINISHED,856,2024-12-24T14:36:04.051Z
ra3.4xlarge_x2nodes_run_2,Q2_3,ra3.4xlarge_x2nodes,FINISHED,970,2024-12-24T14:36:08.587Z
ra3.4xlarge_x2nodes_run_2,Q2_4,ra3.4xlarge_x2nodes,FINISHED,704,2024-12-24T14:36:13.119Z
ra3.4xlarge_x2nodes_run_2,Q2_5,ra3.4xlarge_x2nodes,FINISHED,820,2024-12-24T14:36:17.678Z
ra3.4xlarge_x2nodes_run_2,Q2_6,ra3.4xlarge_x2nodes,FINISHED,1143,2024-12-24T14:36:22.185Z
ra3.4xlarge_x2nodes_run_2,Q2_7,ra3.4xlarge_x2nodes,FINISHED,707,2024-12-24T14:36:26.666Z
ra3.4xlarge_x2nodes_run_2,Q2_8,ra3.4xlarge_x2nodes,FINISHED,896,2024-12-24T14:36:31.162Z
ra3.4xlarge_x2nodes_run_2,Q2_9,ra3.4xlarge_x2nodes,FINISHED,695,2024-12-24T14:36:35.584Z
ra3.4xlarge_x2nodes_run_2,Q2_10,ra3.4xlarge_x2nodes,FINISHED,910,2024-12-24T14:36:40.182Z
ra3.4xlarge_x2nodes_run_2,Q3_1,ra3.4xlarge_x2nodes,FINISHED,6832,2024-12-24T14:36:48.633Z
ra3.4xlarge_x2nodes_run_2,Q3_2,ra3.4xlarge_x2nodes,FINISHED,6762,2024-12-24T14:36:57.321Z
ra3.4xlarge_x2nodes_run_2,Q3_3,ra3.4xlarge_x2nodes,FINISHED,2920,2024-12-24T14:37:02.569Z
