campaignId,aliasQuery,clusterName,status,durationInMs,createdAt
campaign-2025-01-01T14:00:02.690Z,Q3_1,dc2.large_x5nodes,FINISHED,4279,2025-01-01T14:03:29.506Z
campaign-2025-01-01T14:00:02.690Z,Q4_6,dc2.large_x5nodes,FINISHED,3420,2025-01-01T14:05:18.308Z
campaign-2025-01-01T14:00:02.690Z,Q6_4,dc2.large_x5nodes,FINISHED,69421,2025-01-01T14:26:15.730Z
campaign-2025-01-01T14:00:02.690Z,Q8_3,dc2.large_x5nodes,FINISHED,51870,2025-01-01T14:50:27.294Z
campaign-2025-01-01T14:00:02.690Z,Q8_4,dc2.large_x5nodes,FINISHED,52108,2025-01-01T14:51:21.893Z
campaign-2025-01-01T14:00:02.690Z,Q10_9,dc2.large_x5nodes,FINISHED,1330,2025-01-01T15:15:30.213Z
campaign-2025-01-01T14:00:02.690Z,Q4_3,dc2.large_x5nodes,FINISHED,3561,2025-01-01T14:05:03.385Z
campaign-2025-01-01T14:00:02.690Z,Q6_2,dc2.large_x5nodes,FINISHED,31261,2025-01-01T14:21:48.303Z
campaign-2025-01-01T14:00:02.690Z,Q2_8,dc2.large_x5nodes,FINISHED,1183,2025-01-01T14:03:10.627Z
campaign-2025-01-01T14:00:02.690Z,Q7_10,dc2.large_x5nodes,FINISHED,82854,2025-01-01T14:47:41.211Z
campaign-2025-01-01T14:00:02.690Z,Q1_5,dc2.large_x5nodes,FINISHED,8304,2025-01-01T14:01:19.814Z
campaign-2025-01-01T14:00:02.690Z,Q8_2,dc2.large_x5nodes,FINISHED,51902,2025-01-01T14:49:32.521Z
campaign-2025-01-01T14:00:02.690Z,Q6_3,dc2.large_x5nodes,FINISHED,188746,2025-01-01T14:25:00.679Z
campaign-2025-01-01T14:00:02.690Z,Q10_1,dc2.large_x5nodes,FINISHED,43381,2025-01-01T15:09:43.871Z
campaign-2025-01-01T14:00:02.690Z,Q9_8,dc2.large_x5nodes,FINISHED,46995,2025-01-01T15:06:14.215Z
campaign-2025-01-01T14:00:02.690Z,Q1_3,dc2.large_x5nodes,FINISHED,8779,2025-01-01T14:00:50.248Z
campaign-2025-01-01T14:00:02.690Z,Q9_1,dc2.large_x5nodes,FINISHED,46534,2025-01-01T14:57:31.984Z
campaign-2025-01-01T14:00:02.690Z,Q1_4,dc2.large_x5nodes,FINISHED,8489,2025-01-01T14:01:04.827Z
campaign-2025-01-01T14:00:02.690Z,Q10_8,dc2.large_x5nodes,FINISHED,43726,2025-01-01T15:15:24.752Z
campaign-2025-01-01T14:00:02.690Z,Q5_4,dc2.large_x5nodes,FINISHED,88320,2025-01-01T14:11:38.469Z
campaign-2025-01-01T14:00:02.690Z,Q9_4,dc2.large_x5nodes,FINISHED,79724,2025-01-01T15:01:14.337Z
campaign-2025-01-01T14:00:02.690Z,Q9_2,dc2.large_x5nodes,FINISHED,79308,2025-01-01T14:58:53.461Z
campaign-2025-01-01T14:00:02.690Z,Q1_9,dc2.large_x5nodes,FINISHED,8794,2025-01-01T14:02:10.601Z
campaign-2025-01-01T14:00:02.690Z,Q7_7,dc2.large_x5nodes,FINISHED,82663,2025-01-01T14:43:16.516Z
campaign-2025-01-01T14:00:02.690Z,Q2_7,dc2.large_x5nodes,FINISHED,1071,2025-01-01T14:03:05.510Z
